Customer,TotalRate,Pickup,Dropoff,PickupDate
6444,750," 10225 Western Ridge Rd, Charlotte, NC 28273"," 1934 Ruffin Mill Rd, Colonial Heights, VA 23834",2024-03-21
6334,900,"Rutherfordton, NC","Disputanta, VA",2024-03-21
6272,850, Newport News VA, Chesnee SC,2024-03-25
6304,800," Portsmouth, VA"," SALISBURY, NC",2024-03-25
6395,1000, COWPENS SC, Newport News VA,2024-03-25
6277,800,"  Conover, NC 28613"," ASHLAND, VA 23005",2024-03-25
6436,1200," WILLIAMSBURG, VA"," SHANNON, GA",2024-03-25
6391,1550," McDonough, GA",Chesapeake VA,2024-03-25
6358,2000," TEMPE, AZ","  PASADENA, TX",2024-03-25
6273,1000, WILLIAMSBURG VA,Shannon GA,2024-03-25
6273,1000,,,2024-04-25
6353,1871.4," ORESTES, IN",Petersburg VA,2024-03-25
6445,1850,AVON IN,Virginia Beach VA,2024-03-25
6336,1595,Alexandria IN,Disputanta VA,2024-03-25
6269,1400,HAMPTON VA,LAFAYETTE IN,2024-03-25
6355,1086.75, CALHOUN GA,PETERSBURG VA,2024-04-04
6269,1300,HAMPTON VA,GREENWOOD IN,2024-04-04
6269,1300, HAMPTON VA, GREENWOOD IN,2024-04-04
6272,1550, PLAINFIELD IN, CHESTER VA,2024-04-04
6446,1836.75," Brownsburg, IN","  Petersburg, VA",2024-04-04
6436,1200," WILLIAMSBURG, VA"," SHANNON, GA",2024-04-04
6335,700," Chester, VA"," Fayetteville, NC",2024-04-04
6447,900," NIAGARA FLORENCE, FLORENCE SC 29506"," NEWPORT NEWS PLANT, 17200 WARWICK BLVD, NEWPORT NEWS VA 23603",2024-04-04
6436,1200, Williamsburg VA,Shannon GA,2024-04-04
6272,1125," Adairsville, GA"," Manquin, VA",2024-04-04
6448,800," SUFFOLK, VA"," FLAT ROCK, NC",2024-04-04
6449,1400," CHESAPEAKE, VA"," TIPTON, IN",2024-04-04
6272,1700,LA FAYETTE IN,RICHMOND VA,2024-04-04
6450,629, Virginia Beach VA, Ashland VA,2024-04-04
6300,850,CONOVER NC,RUTHER GLEN VA,2024-04-04
6446,1100," Mooresville, NC",Norfolk VA,2024-04-04
6273,725," Fredericksburg, VA"," Charlotte, NC",2024-04-04
6269,1300, HAMPTON VA, GREENWOOD IN,2024-04-04
6297,1100,Mcdonough GA,Prince George VA,2024-04-04
6451,1750," Indianapolis, IN"," Chesapeake, VA",2024-04-04
6436,1200," WILLIAMSBURG, VA"," SHANNON, GA",2024-04-04
6348,800," El Paso, TX"," Mesa, AZ",2024-04-04
6269,1300, HAMPTON VA, GREENWOOD IN,2024-04-04
6445,1850," AVON, IN"," VIRGINIA BEACH, VA",2024-04-04
6439,925,Greer SC,Henrico VA,2024-04-04
6272,1050," Atlanta, GA"," Virginia Beach, VA",2024-04-04
6307,1050," LITHIA SPRINGS, GA"," PRINCE GEORGE, VA",2024-04-04
6317,1200,Chesapeake VA,Peachtree City GA,2024-04-04
6452,2000, SHOALS IN, NORFOLK VA,2024-04-06
6436,1200," BMBCC WILLIAMSBURG, WILLIAMSBURG, VA"," SHANNON GEORGIA WHSE-C/O WEST LOGISTICS, SHANNON, GA",2024-04-06
6300,900," VILLA RICA, GA","EFFINGHAM, IL",2024-04-06
6436,1200," WILLIAMSBURG, VA"," ADAIRSVILLE, GA",2024-04-06
6293,1100, LITHIA SPRINGS GA, RICHMOND VA,2024-04-06
6273,1100, WILLIAMSBURG VA,GA,2024-04-06
6336,1793, ALEXANDRIA IN 46001,DISPUTANTA VA,2024-04-06
6279,1750,GREENFIELD IN,CHESAPEAKE VA,2024-04-06
6269,1300," Hampton, VA"," Greenwood, IN",2024-04-06
6307,1250,Petersburg VA,Terre Haute IN,2024-04-06
6453,800,Charlotte NC,Prince George VA,2024-04-15
6272,850," World Distribution Services, Virginia Beach VA 23455"," Empire Distributors of Ne Inc, Pineville NC 28134",2024-04-15
6401,950, ANDERSON SC, CHESAPEAKE VA,2024-04-15
6271,725," Norfolk, VA"," Shelby, NC",2024-04-15
6401,1100, ANDERSON SC, CHESAPEAKE VA,2024-04-15
6275,500, Virginia Beach VA,Prince George VA,2024-04-15
6314,1300, CHESAPEAKE VA, FRANKFORT IN,2024-04-15
6274,1550, LAFAYETTE IN,DURHAM NC,2024-04-15
6269,1300," Hampton, VA"," Greenwood, IN",2024-04-15
6404,300, RICHMOND VA, CHESAPEAKE VA,2024-04-15
6350,1850," Columbus, IN"," Suffolk, VA",2024-04-15
6269,1300, HAMPTON VA, GREENWOOD IN,2024-04-15
6350,1900," Columbus, IN"," Suffolk, VA",2024-04-15
6269,1300, HAMPTON VA, GREENWOOD IN,2024-04-15
6310,2200,ARCOLA IL,NEWPORT NEWS VA,2024-04-15
6301,400, NORFOLK VA,RICHMOND VA,2024-04-15
6454,1422," NORFOLK, VA"," TERRE HAUTE, IN",2024-04-15
6396,1949.59," PLAINFIELD, IN"," MECHANICSVILLE, VA",2024-04-15
6269,1300, Hampton VA, GREENWOOD IN,2024-04-15
6275,4000,Glendale AZ,Stuarts Draft VA,2024-04-15
6273,633,Burlington NC,Franklin VA,2024-04-15
6286,1150," BALL CONTAINER, 8935 WILLIAMSBURG, VA", SHANNON GEORGIA,2024-04-17
6326,1000," Calhoun, GA"," Wylliesburg, VA",2024-04-17
6273,1250," 8935 POCAHOTAS TRAIL, WILLIAMSBURG, VA"," 212 BURLINGTON RD N.E., SHANNON, GA",2024-04-17
6273,1100," GEORGIA NORTH LOGISTICS CENTER, ADAIRSVILLE GA", WILLIAMSBURG VA,2024-04-17
6455,1403.33," DALTON, GA"," SANDSTON, VA",2024-04-17
6273,1650,Indianapolis IN,Hopewell VA,2024-04-17
6436,500, Richmond VA,Williamsburg VA,2024-04-19
6348,600," Danville, VA"," Sandston, VA",2024-04-19
6269,1300, HAMPTON VA, GREENWOOD IN,2024-04-19
6374,1900, Plainfield IN,Chesapeake VA,2024-04-19
6269,1300, Hampton VA,Greenwood IN,2024-04-19
6456,1418.51," LITHIA SPRINGS, GA"," MECHANICSVILLE, VA",2024-04-21
6447,525,Chester VA, SOUTH BOSTON VA,2024-04-21
6269,1300, PORTSMOUTH VA, PLAINFIELD IN,2024-04-21
6273,1100," 8935 POCAHOTAS TRAIL, WILLIAMSBURG, VA 23185",Shannon GA,2024-04-21
6269,1400," HAMPTON, VA"," LAFAYETTE, IN",2024-04-21
6268,1975," Mooresville, IN"," FREDERICKSBURG, VA",2024-04-21
6457,1800,Lebanon IN,Prince George VA,2024-04-21
6445,1850," AVON, IN 46168"," VIRGINIA BEACH, VA 23459",2024-04-21
6269,1300, HAMPTON VA, GREENWOOD IN,2024-04-21
6269,1300, HAMPTON VA, GREENWOOD IN,2024-04-21
6390,1000, Greenville SC,Sutherland VA,2024-04-25
6426,1900," 2595 W STATE ROAD 28, ALEXANDRIA, IN 46001"," DISPUTANTA, VA 23842",2024-04-25
6450,825, VIRGINIA BEACH VA, STATESVILLE NC,2024-04-25
6381,775,CHARLOTTE NC,VIRGINIA BEACH VA,2024-04-25
6445,850," Virginia Beach, VA"," PINEVILLE, NC",2024-04-25
6458,875,Charlotte NC,Fredericksburg VA,2024-04-25
6320,1395,Troutman NC," Chesapeake, VA",2024-04-25
6459,700,Norfolk VA," Charlotte, NC",2024-04-25
6272,500," Eastern Minerals Rd, Henderson NC 27537"," Virginia Feed Mill, Waverly VA 23890",2024-04-25
6321,1900, INDIANAPOLIS IN, CHESAPEAKE VA,2024-04-25
6269,1300, HAMPTON VA, GREENWOOD IN,2024-04-25
6391,1565," North Vernon, IN","Richmond, VA",2024-04-25
6450,700," Virginia Beach, VA"," Petersburg, VA",2024-04-25
6450,779, VIRGINIA BEACH VA, ASHLAND VA,2024-04-25
6324,825,Portsmouth VA,Disputanta VA,2024-04-25
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-06
6426,1800," 2595 W STATE ROAD 28, ALEXANDRIA IN 46001", DISPUTANTA VA 23842,2024-05-06
6404,1900," 551 MINGER DRIVE, GREENDALE, IN 47025"," 5740 BAYSIDE ROAD, VIRGINIA BEACH, VA 23455",2024-05-06
6269,1300, PORTSMOUTH VA,PLAINFIELD IN,2024-05-06
6460,1600," Brandenburg, KY"," Richmond, VA",2024-05-06
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-06
6457,1600,Columbus IN,Suffolk VA,2024-05-06
6461,1050," Atlanta, GA"," Norfolk, VA",2024-05-06
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-06
6301,1100," Williamsburg, VA"," Adairsville, GA",2024-05-06
6275,1763,Plainfield IN,Fredericksburg VA,2024-05-06
6269,4300," Hampton, VA"," Greenwood, IN",2024-05-06
6269,1300, PORTSMOUTH VA, PLAINFIELD IN,2024-05-06
6462,1700," Crawfordsville, IN"," Suffolk, VA",2024-05-06
6450,740, Virginia Beach VA, Ruther Glen VA,2024-05-06
6450,700," 1537 AIR RAIL AVE, VIRGINIA BEACH VA 23455"," 6055 QUALITY WAY, PRINCE GEORGE VA 23875",2024-05-06
6414,900, LAWRENCEVILLE VA, MOUNT CRAWFORD VA,2024-05-06
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-06
6350,1800," TSN WEST LLC, RICHMOND IN"," DVA, STAFFORD VA",2024-05-06
6272,750,Red Oak VA,Warrenton VA,2024-05-06
6269,1300,Hampton VA,Greenwood IN,2024-05-06
6426,1800," 2595 W STATE ROAD 28, ALEXANDRIA, IN 46001"," DISPUTANTA, VA 23842",2024-05-06
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-06
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-06
6268,1500," Plainfield, IN"," Mechanicsville, VA",2024-05-11
6269,1300, PORTSMOUTH VA, PLAINFIELD IN,2024-05-11
6404,1520, PORTSMOUTH VA, ELKHART IN,2024-05-11
6434,1400," 1910 CAMPOSTELLA ROAD, CHESAPEAKE VA 23324"," 600 IN STATE ROAD 32 WEST, CRAWFORDSVILLE IN 47933",2024-05-11
6303,1600,CHAMPAIGN IL,SALISBURY NC,2024-05-11
6463,1000, GREER SC,CHESTER VA,2024-05-11
6307,1250," Meridian Waste - Tri City Regional Landfill, PETERSBURG, VA"," 300 NORTH FRUITRIDGE AVENUE, TERRE HAUTE, IN",2024-05-11
6273,1600," 6501 BERRY PLASTICS BLVD, EVANSVILLE IN 47725",Stafford VA,2024-05-11
6449,1000, Monroe NC,Berryville VA,2024-05-11
6464,650, Waynesboro VA,Mooresville NC,2024-05-11
6334,911.75," Pineville, NC"," Petersburg, VA  + $36.75 Lumper",2024-05-11
6272,950, Gatorade - Wytheville VA, LIDL FREDERICKSBURG VA,2024-05-11
6340,1000," 996 Paragon Way, Rock Hill, SC 29730"," 9898 Furnace Road, Lorton, VA 22079",2024-05-11
6412,624," PRINCE GEORGE, VA","  WYTHEVILLE, VA",2024-05-11
6268,900," Wytheville, VA"," Norfolk, VA",2024-05-11
6295,600,Williamsburg VA,Linwood NC,2024-05-11
6301,600," Williamsburg, VA"," Richmond, VA",2024-05-11
6271,3700," Mint Hill, NC"," Tolleson, AZ",2024-05-11
6333,1800," Houston, TX"," Tolleson, AZ",2024-05-11
6382,2350," RICHMOND, VA"," HOUSTON, TX",2024-05-11
6465,4100,Phoenix AZ,Williamsburg VA,2024-05-11
6350,4000," Glendale, AZ"," Charlotte, NC",2024-05-11
6426,2000,Alexandria IN,Disputanta VA,2024-05-11
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-18
6462,1700,Crawfordsville IN," Suffolk, VA",2024-05-18
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-18
6457,1600,Greenfield IN,Virginia Beach VA,2024-05-18
6466,650,Chester VA, STUARTS DRAFT VA,2024-05-18
6269,1300, PORTSMOUTH VA, PLAINFIELD IN,2024-05-18
6378,1800,Bristol IN,Virginia Beach VA,2024-05-18
6269,4300, HAMPTON VA, GREENWOOD IN,2024-05-18
6336,1890,Alexandria IN,Disputanta VA,2024-05-18
6275,750,Virginia Beach VA,Fredericksburg VA,2024-05-18
6320,800," TROUTMAN, NC"," PRINCE GEORGE, VA",2024-05-18
6433,650," Williamsburg, VA"," Linwood, NC",2024-05-18
6319,700," VIRGINIA BEACH, VA"," Browns Summit, NC",2024-05-18
6340,1000,Rock Hill SC,Lorton VA,2024-05-18
6320,1050," TROUTMAN, NC"," CHESAPEAKE, VA",2024-05-22
6333,2145,Frankfort IN,FREDERICKSBURG VA,2024-05-22
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-22
6279,1699, Whiteland IN,Richmond VA,2024-05-22
6275,750,Virginia Beach VA,Charlotte NC,2024-05-22
6313,950,"CHARLOTTE, NC"," VIRGINIA BEACH, VA  ",2024-05-22
6286,700," Suffolk, VA"," Charlotte, NC",2024-05-22
6467,700,NORFOLK VA,GREENSBORO NC,2024-05-22
6285,1000,Chester VA,Leesburg VA,2024-05-22
6311,500,Manassas VA,Ashland VA,2024-05-22
6468,1400," Louisville, KY"," Sterling, VA",2024-05-23
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-23
6350,1600,Richmond IN,Stafford VA,2024-05-23
6336,1890,Alexandria IN,Disputanta VA,2024-05-24
6282,1800,Alexandria IN,Glen Allen VA,2024-05-24
6275,1700," Nestle USA, 1537 AIR RAIL AVE VIRGINIA BEACH, VA 23455"," Walmart, 100 Fischer Parkway Gas City, IN 46933",2024-05-28
6320,900,Troutman NC,Chesapeake VA,2024-05-28
6268,1200," Mechanicsville, VA"," Baltimore, MD",2024-05-28
6400,1900," Clayton, IN"," Prince George, VA",2024-05-28
6334,1745,Alexandria IN,Disputanta VA,2024-05-28
6269,1300, Hampton VA,Greenwood IN,2024-05-28
6391,1400,North Vernon IN,Richmond VA,2024-05-28
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-28
6269,1300, HAMPTON - VA, GREENWOOD IN,2024-05-28
6333,1650," PLAINFIELD, IN"," FREDERICKSBURG, VA",2024-05-28
6269,1300, HAMPTON VA, GREENWOOD IN,2024-05-28
6269,1300, Hampton VA,Greenwood IN,2024-05-28
6355,1700," CRAWFORDSVILLE, IN"," SUFFOLK, VA",2024-05-28
6340,1000," 996 Paragon Way, Rock Hill, SC 29730"," 9898 Furnace Road, Lorton, VA 22079",2024-05-28
6321,650," 1201 ENTERPRISE DR, SUFFOLK 23434"," 8416 TRIAD DR, GREENSBORO 274099018",2024-05-28
6320,800," TROUTMAN, NC"," PRINCE GEORGE, VA",2024-05-28
6278,736,Franklin VA,Ruther Glen VA,2024-05-28
6307,1600," WAGNER LOGISTICS CLOROX, 2155 STAFFORD RD, PLAINFIELD, IN, 46168"," STORE 7303, 5 QUALITY WAY, PRINCE GEORGE, VA, 23875",2024-06-01
6269,1300,HAMPTON VA,GREENWOOD IN,2024-06-01
6304,1200," TOANO, VA 23168"," ELKTON, VA 22827",2024-06-01
6304,1200," TOANO, VA 23168"," ELKTON, VA 22827",2024-06-01
6269,1300, HAMPTON VA, GREENWOOD IN,2024-06-01
6279,1800," 1716 Innovation Blvd, Clayton, IN 46118"," 305 E Street, Hampton, VA 23661",2024-06-01
6269,1300, HAMPTON VA, GREENWOOD IN,2024-06-01
6336,1480," Morgan Foods Warehouse, Jeffersonville, IN"," Walmart, Sutherland, VA",2024-06-01
6457,1700,Charlestown IN,Sutherland VA,2024-06-01
6269,1300, Hampton VA,Greenwood IN,2024-06-01
6469,1776," ALEXANDRIA, IN 46001"," PETERSBURG, VA 23803",2024-06-05
6278,150," Franklin, VA"," Ruther Glen, VA",2024-06-05
6269,1300, HAMPTON VA, GREENWOOD IN,2024-06-05
6271,1500," 1225 WEST BURNETT AVE, LOUISVILLE, KY"," 2211 BELLS RD ASRS WHSE #7 GATE H, RICHMOND, VA",2024-06-05
6269,1300, Hampton VA,Greenwood IN,2024-06-05
6304,1200,Toano VA,Elkton VA,2024-06-05
6363,800,CHARLOTTE NC,PRINCE GEORGE VA,2024-06-10
6293,850, PINEVILLE NC,PRINCE GEORGE VA,2024-06-10
6445,900, Virginia Beach VA,Pineville NC,2024-06-10
6285,1050,Chester VA,Greenville SC,2024-06-10
6470,1300, Spartanburg SC,Prince George VA,2024-06-10
6312,1700," FRANKLIN, IN"," CHESAPEAKE, VA",2024-06-10
6269,1300, HAMPTON VA, GREENWOOD IN,2024-06-10
6269,1300, HAMPTON VA, GREENWOOD IN,2024-06-10
6274,1900," CRAWFORDSVILLE, IN"," SUFFOLK, VA",2024-06-10
6269,1300,Hampton VA,Greenwood IN,2024-06-10
6294,1700," Berry Plastics, Odon, IN 47562"," Mondelez Richmond Bakery, Richmond, VA 23231",2024-06-10
6269,1300," HAMPTON, VA"," GREENWOOD, IN",2024-06-10
6269,1650," SHELBYVILLE, IN"," RICHMOND, VA",2024-06-10
6269,1300, HAMPTON VA, GREENWOOD IN,2024-06-10
6320,900,Troutman NC,Prince George VA,2024-06-10
6319,850," Williamsburg, VA"," Spartanburg, SC",2024-06-10
6354,750, Norfolk VA,Mocksville NC,2024-06-10
6320,900,Troutman NC,Chesapeake VA,2024-06-10
6298,900," ARAUCO SC, BENNETTSVILLE SC"," STEVES AND SONS, SANDSTON VA",2024-06-16
6286,700,Origin: SUFFOLK VA,Destination: CHARLOTTE NC,2024-06-16
6320,900," Talking Rain, 279 Old Murdock Road, Troutman, NC 28166"," 6055 Quality Way, Prince George, VA 23875-3038",2024-06-16
6350,900,Charlotte NC,Prince George VA,2024-06-16
6354,650, NORFOLK VA, MOCKSVILLE NC,2024-06-16
6471,2100," Lafayette, IN"," Virginia Beach, VA",2024-06-16
6269,1300," Epes Transport Warehouse, HAMPTON VA"," TA Services, GREENWOOD IN",2024-06-16
6269,1300, HAMPTON VA, GREENWOOD IN,2024-06-16
6334,1745,Alexandria IN,Disputanta VA,2024-06-16
6350,1700, INDIANAPOLIS IN, STAFFORD VA,2024-06-16
6269,1400, HAMPTON VA, LAFAYETTE IN,2024-06-16
6471,2100, LAFAYETTE IN, VIRGINIA BEACH VA,2024-06-16
6269,1300, HAMPTON VA, GREENWOOD IN,2024-06-16
6400,1810," Clayton, IN"," Fredericksburg, VA",2024-06-16
6269,1300,Hampton VA,Greenwood IN,2024-06-16
6334,426," Chester, VA","  Petersburg, VA + LUMPER $76.00",2024-06-16
6446,1000," Huntersville, NC", North Chesterfield VA,2024-06-16
6467,700," Richmond, VA"," Reidsville, NC",2024-06-16
6472,800,Ridgeway VA,Richmond VA,2024-06-16
6334,426," Chester, VA","Petersburg, VA (+ LUMPER)",2024-06-20
6334,426," Chester, VA","Petersburg, VA (+ LUMPER)",2024-06-20
6334,426," Chester, VA","Petersburg, VA (+ LUMPER)",2024-06-20
6446,1000," 10036 Torrence Ford Dr, Huntersville, NC 28078"," 1520 Willis RD, NORTH CHESTERFIELD, VA 23237",2024-06-20
6354,650, NORFOLK VA 23513, MOCKSVILLE NC 27028,2024-06-20
6433,650," 7795 Pocahontas Trail, WILLIAMSBURG, VA 23185"," 125 SEVEN OAKS DR., LINWOOD, NC 27299",2024-06-20
6271,1000, CHARLOTTE NC, VIRGINIA BCH VA,2024-06-20
6269,1300," 2501 60th St, HAMPTON VA 23661"," 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2024-06-20
6269,1300," 2501 60th St, HAMPTON VA 23661"," 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2024-06-20
6268,1700," Lebanon, IN"," Chesapeake, VA",2024-06-20
6473,1600, Louisville KY, South Chesterfield VA,2024-06-20
6471,2100," 1501 Veterans Memorial Parkway E, Lafayette, IN 47905"," 2600 Production Road, Virginia Beach, VA 23454",2024-06-20
6350,900," Niagara Bottling LLC, 178 Mooresville Blvd Mooresville, NC 28115"," Food Lion, 6500 Enterprise Dr Disputanta, VA 23842",2024-06-20
6272,2021," 316 Gator Lane, WYTHEVILLE VA 24382"," 6304 Sheriff Rd, LANDOVER MD 20785",2024-06-20
6350,1800," 9224 Gibbon Rd, Charlotte, NC 28269"," 6055 Quality Way, Prince George, VA 23875",2024-06-20
6405,600," 5371 Glen Alden Drive, RICHMOND VA 23231"," 530 Albemarle Road, ASHEBORO NC 27203",2024-06-20
6474,1375," 14620 CAROWINDS BLVD, CHARLOTTE NC 28273"," 5050 CROWE DR, MOUNT CRAWFORBA 22841",2024-06-20
6475,1600," 1201 Logistics Way, Monroe, OH 45050"," 21504 Cox Road, Sutherland, VA 23885",2024-06-20
6269,1300," 2501 60th St, Hampton, VA 23661"," 790 Commerce Pkwy W Dr, Greenwood, IN 46143",2024-06-20
6269,1300," 2501 60th St, Hampton, VA 23661"," 790 Commerce Pkwy W Dr, Greenwood, IN 46143",2024-06-20
6334,400," Chester, VA"," Petersburg, VA (+ LUMPER)",2024-06-23
6354,650, NORFOLK VA 23513, MOCKSVILLE NC 27028,2024-06-23
6282,1700," Alexandria, IN 46001"," Glen Allen, VA 23059",2024-06-23
6269,1300, HAMPTON VA, GREENWOOD IN,2024-06-23
6388,400," T&B Pallets, LLC- Recovery, 3879 East Side Hwy, Grottoes, VA 24441"," PECO Pallet Richmond, 2913 Transport Rd, Richmond, VA 23234",2024-06-23
6297,1250," Duncan, SC"," Suffolk, VA",2024-06-23
6446,1000," 10036 Torrence Ford Dr, Huntersville, NC 28078"," 1520 Willis RD, NORTH CHESTERFIELD, VA 23237",2024-06-23
6466,700,NIAGARA - RCH 17OO DIGITAL DR CHESTER VA 23 836,543 12TH ST DR HICKORY NC 28601,2024-06-23
6383,800,Portsmouth Virginia,Monroe North Carolina,2024-06-23
6269,1300," 2501 60th St, HAMPTON VA 23661"," 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2024-06-23
6269,1300," 2501 60th St, HAMPTON VA 23661"," 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2024-06-23
6334,350," Chester, VA","Petersburg, VA",2024-06-25
6334,350," Chester, VA","  Petersburg, VA",2024-06-25
6334,350," Chester, VA"," Petersburg, VA",2024-06-25
6334,350," Chester, VA"," Petersburg, VA",2024-06-25
6334,426,Chester VA," Petersburg, VA (+LUMPER)",2024-06-28
6334,350," Chester, VA"," Petersburg, VA",2024-06-28
6469,600," 931 DUNLUCE RD, KING WILLIAM, VA 23086"," 5566 BURLINGTON RD, MC LEANSVILLE, NC 27301",2024-06-28
6335,1700," 5000 W 25TH ST, Indianapolis, IN 46224"," 1400 DIGITAL DR, Chester, VA 23836",2024-06-28
6336,1295," 2034 Atlantic Ave, Ste 103 - 104, Chesapeake, VA 23324"," 3737 Waldemere Ave, Indianapolis, IN 46241",2024-06-28
6478,900," 4300 SOUTH BLVD, CHARLOTTE, NC 28209"," 10464 CEDAR LN, GLEN ALLEN, VA 23059",2024-06-28
6476,800,"AMERICAN CYLINDER PRODUCTS 115 FURLONG INDUSTRIAL DR. KERNERSVILLE,NC 27284","SOUTHERN GRAPHIC SYSTEMS 5301 LEWIS ROAD SANDSTON, VA 23150",2024-06-28
6477,700,"BMBCC WILLIAMSBURG 8935 POCAHOTAS TRAIL Williamsburg, VA 23185","VNGR BEVERAGES LLC DBA PO 'I 858 KANNAPOLIS PARKWAY Kannapolis, NC 28081",2024-06-28
6479,1600," 2440 Oxford State Rd, MIDDLETOWN OH 45044"," 830 Old Dill Rd, SUFFOLK VA 23434",2024-06-21
6269,1300," 2501 60th St, Hampton, VA 23661"," 790 Commerce Pkwy W Dr, Greenwood, IN 46143",2024-06-28
6480,1500," 6255 KILBY ROAD, HARRISON, OH 45030"," 13320 RAMBLEWOOD DRIVE, CHESTER, VA 23836",2024-06-25
6350,1165," Niagara Bottling LLC, 178 Mooresville Blvd Mooresville, NC 28115","~ ADDED LUMPER ~ Food Lion, 6500 Enterprise Dr Disputanta, VA 23841",2024-06-28
6374,800," 1401 Elmhurst Lane, Portsmouth, VA 23704"," 1203 Winston Rd, NC 27295",2024-06-28
6270,900," 6100-T GLEN AFTON BLVD, CONCORD, NC 28025"," 1400 DIGITAL DR, CHESTER, VA 23836-2869",2024-06-28
6374,800," 4301 Cedar Lane, Portsmouth, VA 23704"," 1203 Winston Rd, NC 27295",2024-06-26
6301,335," 29155 Richmond Turnpike, Ruther Glen, VA 22546"," 1700 DIGITAL DR, Chester, VA 238360000",2024-06-28
6469,1876," 2595 W STATE ROAD 28, ALEXANDRIA, IN 46001","+LUMPER PETERSBURG, VA 23803",2024-06-27
6334,426,Chester VA,Petersburg VA + Lumper,2024-07-03
6481,757.5,Richmond VA,Charlotte NC,2024-07-03
6334,350," Chester, VA"," Petersburg, VA",2024-07-03
6482,1575,Erlanger KY,Stafford VA,2024-07-03
6297,1250," 531 Robin Lake Road Bldg, Duncan, SC 29334"," 2/71 Benton Rd, Suffolk, VA 23434",2024-07-03
6335,1300," 4530 OAKLEYS LANE, SANDSTON, VA"," 3690 S 500 East, Whitestown, IN",2024-07-03
6320,1500," 5559 Inwood Dr, Columbus, IN 47201"," 15801 Happy Hill Rd, South Chesterfield, VA 23834",2024-07-03
6269,1300, HAMPTON VA, GREENWOOD IN,2024-07-03
6307,700," 934 Dunluce Rd, King William, VA, 23086"," 2110 Executive Drive, Salisbury, NC, 28147",2024-07-03
6310,1100,Dallas NC,Virginia Beach VA,2024-07-03
6321,650," 1201 ENTERPRISE DR, SUFFOLK VA 23434"," 8416 TRIAD DR, GREENSBORO NC 274099018",2024-07-03
6412,1100,Dallas NC,Virginia Beach VA,2024-07-03
6307,400," Access Corporation, 1790 Ruffin Mill Rd, Colonial Heights, VA 23834"," Iron Mountain, 5900 Eastport Blvd, Richmond, VA 23231",2024-07-10
6310,600,Garysburg NC,Doswell VA,2024-07-10
6293,1300, PORTSMOUTH VA, PLAINFIELD IN,2024-07-10
6471,2100,LAFAYETTE IN,VIRGINIA BEACH VA,2024-07-10
6269,1300," 3097 Ballard Ave, PORTSMOUTH VA 23701", 849 Whitaker RD PLAINFIELD IN,2024-07-10
6311,800," Canada Dry Norfolk, Virginia Beach, VA"," Independent Beverage Company, Charlotte, NC",2024-07-10
6354,650,Norfolk VA,Mocksville SC,2024-07-10
6304,1400," Mooresville, NC"," NORFOLK, VA",2024-07-10
6401,1300,Anderson SC,Chesapeake VA,2024-07-10
6457,1850,Jeffersonville IN,Prince George VA,2024-07-10
6336,1855," 2595 W STATE RD 28, ALEXANDRIA IN 46001"," 6500 Enterprise Dr, DISPUTANTA VA 23842",2024-07-10
6483,800,Windsor VA,Sparta NC,2024-07-10
6272,980," Gatorade - Wytheville, WYTHEVILLE VA 24382"," Pepsi Bottling Co - Richmond - SP_1465_, RICHMOND VA 23237",2024-07-10
6334,350,"Chester, VA","Petersburg, VA",2024-07-10
6334,274," Chester, VA"," Petersburg, VA",2024-07-10
6334,274,,,2024-08-27
6320,900," 279 OLD MURDOCK RD, TROUTMAN, NC 28166"," 6055 QUALITY WAY, PRINCE GEORGE, VA 23875",2024-07-18
6484,950,1600 Porter Rd Rock Hill SC 29730,7795 Pochontas Trail Williamsburg VA 23185,2024-07-18
6445,900," Virginia Beach, VA"," PINEVILLE, NC",2024-07-18
6401,1200," 441 Masters Blvd, Anderson, SC 29626"," 1501 Sams Circle, Chesapeake, VA 23320",2024-07-18
6282,900," 931 Dunluce Rd, King William, VA 23086"," 5566 Burlington Rd, Mc Leansville, NC 27301",2024-07-18
6412,1100," 484 HICKS GROVE RD., Mooresboro, NC US 28114"," 11022 Lewistown Road, ASHLAND, VA US 23005",2024-07-18
6286,650,Suffolk VA,Charlotte NC,2024-07-18
6271,1400," 1301 Battery Brooke Pkwy, RICHMOND VA"," 11214 Jefferson Ave, NEWPORT NEWS VA",2024-07-18
6269,1300," 2501 60th St, HAMPTON VA 23661"," 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2024-07-18
